"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","prec-c",,,,"User:","ziyi"
"Cmdline:","dstat --output ./ds.csv",,,,"Date:","08 Feb 2023 01:37:25 CST"
"total cpu usage",,,,,"dsk/total",,"net/total",,"paging",,"system",
13.490,0.619,85.891,0,0,0,0,2806,18199,0,0,629,413
12.609,0.499,86.891,0,0,0,0,780,13606,0,0,444,208
12.702,0.498,86.800,0,0,0,0,840,12480,0,0,498,190
12.375,0.625,87,0,0,0,0,1180,14416,0,0,544,288
13.721,0.371,85.909,0,0,0,0,780,13270,0,0,497,218
12.625,0.375,87,0,0,0,0,2382,15283,0,0,558,272
12.968,0.374,86.409,0.249,0,0,24576,988,16124,0,0,546,372
13.507,0.496,85.998,0,0,0,0,2236,17981,0,0,601,293
13.043,0.373,86.584,0,0,0,0,1016,12828,0,0,570,276
13.416,0.248,86.335,0,0,0,0,2802,15621,0,0,630,278
13.366,0.619,86.015,0,0,0,0,928,15594,0,0,544,315
13.457,0.370,85.926,0.247,0,0,24576,1364,13116,0,0,610,311
13.580,0.494,85.926,0,0,0,0,786,13316,0,0,522,212
13.109,0.250,86.642,0,0,0,0,2534,17123,0,0,560,283
13.490,0.248,86.262,0,0,0,0,1048,12778,0,0,503,224
12.811,0.622,86.567,0,0,0,0,840,13428,0,0,545,260
13.755,0.372,85.750,0.124,0,0,24576,2688,15685,0,0,625,306
13.580,0.370,86.049,0,0,0,0,754,12794,0,0,491,188
13.308,0.124,86.567,0,0,0,0,1020,13998,0,0,466,227
13.151,0.496,86.352,0,0,0,0,810,13466,0,0,487,236
13.507,0.248,86.245,0,0,0,0,730,13354,0,0,540,254
12.811,0.373,86.816,0,0,0,0,1392,16704,0,0,458,312
13.631,0.248,86.121,0,0,0,24576,1080,25760,0,0,561,239
13.366,0.248,86.386,0,0,0,0,882,12722,0,0,475,199
13.721,0.371,85.909,0,0,0,0,1280,15805,0,0,543,320
12.935,0.622,86.443,0,0,0,0,1723,16386,0,0,560,330
13.243,0.495,86.262,0,0,0,0,948,12668,0,0,507,172
13.793,0.493,85.714,0,0,0,0,1210,14516,0,0,607,310
12.594,0.623,86.783,0,0,0,0,750,13434,0,0,489,227
12.859,0.125,87.016,0,0,0,0,498,12630,0,0,439,162
12.734,0.375,86.891,0,0,0,0,840,13172,0,0,486,196
13.490,0.495,86.015,0,0,0,24576,2726,15697,0,0,660,363
12.516,0.250,87.234,0,0,0,0,540,12574,0,0,434,165
12.594,0.623,86.783,0,0,0,0,780,13364,0,0,526,221
12.859,0.250,86.891,0,0,0,0,626,13394,0,0,530,222
12.827,0.374,86.800,0,0,0,0,880,12832,0,0,531,207
13.400,0.248,86.352,0,0,0,0,1248,15688,0,0,497,250
12.516,0.375,87.109,0,0,0,24576,660,13348,0,0,480,203
12.609,0.125,87.266,0,0,0,0,780,24506,0,0,542,303
13.325,0.125,86.550,0,0,0,0,1338,15638,0,0,489,295
13.184,0.373,86.443,0,0,0,0,900,15058,0,0,577,372
12.875,0,87.125,0,0,0,0,540,12128,0,0,432,159
13.631,0.248,86.121,0,0,0,0,1050,14162,0,0,498,240
12.968,0.249,86.783,0,0,0,0,600,13144,0,0,493,227
13.184,0.124,86.692,0,0,0,0,1110,12232,0,0,446,166
14.057,0.247,85.450,0.247,0,0,36864,660,12884,0,0,497,212
13.076,0.249,86.924,-0.249,0,0,4096,780,12880,0,0,472,191
12.750,0.125,87.125,0,0,0,0,660,12256,0,0,453,157
13.968,0.371,85.661,0,0,0,0,1140,25462,0,0,564,348
12.750,0.125,87.125,0,0,0,0,540,12242,0,0,447,196
13.200,0.249,86.550,0,0,0,0,1050,13812,0,0,489,208
14.091,0.247,85.661,0,0,0,0,4120,17106,0,0,671,300
13.721,0.247,86.032,0,0,0,0,1106,13142,0,0,550,296
13.092,0.249,86.658,0,0,0,0,900,15642,0,0,488,288
13.704,0.494,85.802,0,0,0,0,1496,13608,0,0,674,358
12.766,0,87.234,0,0,0,0,720,12208,0,0,462,157
13.060,0.249,86.692,0,0,0,0,1020,26032,0,0,550,297
13.184,0.249,86.567,0,0,0,0,540,12248,0,0,521,222
12.827,0.249,86.800,0.125,0,0,24576,1080,11472,0,0,502,179
13.416,0.248,86.335,0,0,0,0,1260,15090,0,0,617,310
12.766,0.250,86.984,0,0,0,0,840,12602,0,0,510,219
12.718,0.249,87.032,0,0,0,0,540,11732,0,0,456,164
12.782,0.251,86.967,0,0,0,0,2442,14661,0,0,544,219
13.416,0.248,86.335,0,0,0,0,990,12756,0,0,515,266
13.383,0.124,86.493,0,0,0,0,780,11604,0,0,435,141
12.968,0.125,86.908,0,0,0,0,720,12260,0,0,472,175
12.734,0.250,87.016,0,0,0,0,600,12376,0,0,450,164
13.416,0,86.584,0,0,0,0,1030,12090,0,0,523,215
13.631,0.248,85.998,0.124,0,0,24576,660,14652,0,0,515,295
12.984,0.125,86.891,0,0,0,0,840,13100,0,0,477,212
13.614,0.124,86.262,0,0,0,0,540,11668,0,0,459,168
13.844,0.124,86.032,0,0,0,0,780,15340,0,0,524,278
13.631,0.248,86.121,0,0,0,0,780,12804,0,0,509,224
13.383,0.124,86.493,0,0,0,0,540,11716,0,0,433,175
13.738,0.248,86.015,0,0,0,0,900,23384,0,0,479,199
13.259,0.248,86.493,0,0,0,0,1320,23556,0,0,518,252
13.184,0.124,86.692,0,0,0,0,420,11284,0,0,425,161
13.200,0.125,86.675,0,0,0,0,660,12712,0,0,471,192
13.738,0.124,86.139,0,0,0,0,720,12220,0,0,525,208
13.490,0.124,86.386,0,0,0,0,600,11620,0,0,443,170
13.233,0.125,86.642,0,0,0,0,1380,16476,0,0,599,358
13.614,0.248,86.139,0,0,0,0,780,13462,0,0,497,228
13.597,0.124,86.279,0,0,0,0,840,12144,0,0,455,150
13.738,0.124,86.139,0,0,0,0,960,13964,0,0,523,254
13.416,0.124,86.460,0,0,0,0,780,14584,0,0,469,271
13.076,0.125,86.800,0,0,0,0,420,11884,0,0,441,140
13.721,0.247,86.032,0,0,0,0,1020,15090,0,0,487,246
13.076,0.249,86.675,0,0,0,0,1034,15266,0,0,517,267
14.180,0,85.820,0,0,0,0,2578,14357,0,0,604,257
13.614,0.248,86.139,0,0,0,0,720,15362,0,0,467,259
13.200,0.125,86.675,0,0,0,0,840,13364,0,0,544,243
13.184,0.124,86.692,0,0,0,0,1200,12220,0,0,524,215
13.755,0.248,85.998,0,0,0,0,3016,17953,0,0,644,368
12.641,0.250,87.109,0,0,0,0,1086,15080,0,0,462,248
13.507,0.124,86.369,0,0,0,24576,900,12096,0,0,505,204
13.076,0.249,86.675,0,0,0,0,1090,14674,0,0,583,294
